S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
644,MIM1,RA1144,ZOMATO,"1,373",182.15,187.3,,12-06-24,18-06-24
645,MIM2,UT0149,CENTRALBK,760,65.8,65.55,,13-06-24,18-06-24
646,MIM2,UT0149,CHENNPETRO,51,979.55,"1,006.45",,13-06-24,18-06-24
647,MIM2,UT0149,GPIL,47,"1,065.00","1,140.02",,13-06-24,18-06-24
648,MIM2,UT0149,HSCL,139,361.45,364.8,,13-06-24,18-06-24
649,MIM2,UT0149,IOB,743,67.32,67.9,,13-06-24,18-06-24
650,MIM2,UT0149,KAYNES,13,"3,714.81","3,856.05",,13-06-24,18-06-24
651,MIM2,UT0149,NAM-INDIA,78,639.14,660,,13-06-24,18-06-24
652,MIM2,UT0149,NCC,154,325.5,326.8,,13-06-24,18-06-24
653,MIM2,UT0149,SWSOLAR,66,756.31,751.95,,13-06-24,18-06-24
654,MIM2,UT0149,TATAINVEST,8,"6,414.07","7,069.20",,13-06-24,18-06-24
655,MIM1,RA1144,ADANIPORTS,168,"1,482.08","1,479.30",,21-06-24,01-07-24
656,MIM1,RA1144,CANBK,"2,079",120.3,119.33,,21-06-24,25-06-24
657,MIM1,RA1144,COALINDIA,514,486.01,487.5,,21-06-24,04-07-24
658,MIM1,RA1144,INDIANB,458,544.92,541.65,,21-06-24,25-06-24
659,MIM1,RA1144,TATAPOWER,567,440.72,441.55,,21-06-24,04-07-24
660,AK47,RA1144,UJJIVANSFB,"2,310",43.2,44.02,,27-06-24,24-04-25
661,AK47,RA1144,FUSION,667,450.23,630.7,,28-06-24,
662,AK47,RA1144,UJJIVANSFB,"8,926",44.87,44.02,,28-06-24,24-04-25
663,AK47,RA1144,SPANDANA,423,710.8,997.08,,28-06-24,
664,AK47,RA1144,FUSION,441,453.7,"2,268.50",,01-07-24,
665,AK47,RA1144,SPANDANA,273,732.3,"3,661.50",,01-07-24,
666,AK47,RA1144,STARHEALTH,875,571.88,"2,857.05",,01-07-24,
667,AK47,RA1144,BAJAJFINSV,125,"1,600.84","1,954.70",,04-07-24,03-10-24
668,AK47,RA1144,CREDITACC,376,"1,330.00","1,331.00",,04-07-24,04-07-25
669,AK47,RA1144,FEDFINA,"4,010",124.77,128.72,,04-07-24,31-07-25
670,AK47,RA1144,INDUSINDBK,346,"1,445.90","2,317.63",,04-07-24,
671,AK47,RA1144,NH,404,"1,239.53","1,271.00",,04-07-24,30-08-24
672,AK47,RA1144,PARACABLES,"3,847",78,72.9,,04-07-24,05-12-24
673,MIM1,RA1144,HINDPETRO,236,0,372.3,,05-07-24,25-07-24
674,MISC,UT0149,LUXIND,86,"1,738.70","2,410.70",,10-07-24,06-08-24
675,MISC,UT0149,LUXIND,55,"1,821.70","2,410.70",,11-07-24,06-08-24
676,AK47,RA1144,BHARATWIRE,"1,201",249.9,237.14,,12-07-24,05-12-24
677,AK47,RA1144,JYOTIRES,212,"1,415.00","1,371.59",,12-07-24,19-11-24
678,3*3,RA1144,RTNPOWER,"18,264",16.43,164,,15-07-24,
679,AK47,RA1144,TANLA,190,"1,041.00","1,632.00",,15-07-24,
680,AK47,RA1144,TANLA,106,965.05,"1,632.00",,26-07-24,
681,AK47,RA1144,INDIGOPNTS,197,"1,527.70","1,511.73",,31-07-24,19-11-24
682,MISC,RA1144,AWL,520,384.73,500,,05-08-24,
683,AK47,RA1144,KUANTUM,"1,659",151.26,220,,05-08-24,
684,3*3,RA1144,ESAFSFB,"3,000",50.17,51.47,,07-08-24,23-08-24
685,MISC,RA1144,COFFEEDAY,"2,081",36.09,26.72,,14-08-24,15-04-26
686,AK47,UT0149,BHARATWIRE,71,231.5,217.7,,16-08-24,22-11-24
687,AK47,UT0149,FEDFINA,140,117.22,115.82,,16-08-24,02-12-24
688,AK47,UT0149,ICICIBANK,14,"1,190.00","1,236.00",,16-08-24,14-10-24
689,AK47,UT0149,INDUSINDBK,12,"1,361.40",988.2,,16-08-24,22-11-24
690,AK47,UT0149,CREDITACC,14,"1,202.75","1,141.40",,16-08-24,06-05-25
691,AK47,UT0149,SPANDANA,28,593.14,276.7,,16-08-24,06-05-25
692,AK47,UT0149,STARHEALTH,28,578.3,365.35,,16-08-24,06-05-25
693,AK47,UT0149,UJJIVANSFB,392,42,44.5,,16-08-24,24-04-25
694,AK47,UT0149,JYOTIRES,12,"1,380.78","1,371.02",,16-08-24,19-11-24
695,AK47,UT0149,INDIGOPNTS,11,"1,437.95","1,511.65",,16-08-24,19-11-24
696,AK47,UT0149,NH,14,"1,184.28","1,259.65",,16-08-24,19-11-24
697,AK47,UT0149,BAJAJFINSV,11,"1,546.15","1,930.00",,16-08-24,03-10-24
698,AK47,UT0149,KUANTUM,108,151.77,126.2,,16-08-24,22-11-24
699,AK47,UT0149,MUTHOOTMF,76,214.89,222.3,,16-08-24,14-10-24
700,AK47,UT0149,PARACABLES,207,79.37,65.8,,16-08-24,22-11-24
701,AK47,UT0149,SBCL,28,576.67,718,,16-08-24,10-10-24
702,AK47,UT0149,TANLA,18,914.64,677.2,,16-08-24,22-11-24
703,AK47,UT0149,VBL,27,569.08,589.2,,16-08-24,14-10-24
704,AK47,UT0149,WSTCSTPAPR,28,587.14,549.4,,16-08-24,22-11-24
705,3*3,RA1144,VAIBHAVGBL,587,341,"1,040.00",,22-08-24,
706,MISC,RA1144,WAAREERTL,97,"1,535.10","1,945.00",,28-08-24,25-09-24
707,MISC,RA1144,BAJAJHIND,"5,668",44.2,62,,30-08-24,
708,AK47,RA1144,NH,154,"1,308.00","1,260.90",,05-09-24,19-11-24
709,MISC,RA1144,AAVAS,53,"1,877.70","1,910.70",,06-09-24,17-03-25
710,MISC,A01144,EQUITASBNK,575,86.29,112,,13-09-24,
711,A40,RA1144,GRSE,107,"1,868.86","1,887.40",,20-09-24,06-05-25
712,3*3,RA1144,EASEMYTRIP,"11,404",17.55,105,,25-09-24,
713,AK47,RA1144,TANLA,205,898.09,"1,400.00",,04-10-24,
714,A40,A01144,ANGELONE,45,"2,554.75","2,927.62",,07-10-24,27-11-24
715,AK47,A01144,VBL,46,548.2,589.85,,07-10-24,14-10-24
716,A40,A01144,COCHINSHIP,3,"1,846.05","1,837.20",,07-10-24,24-10-25
717,A40,A01144,ANGELONE,71,"2,584.53","2,927.62",,08-10-24,27-11-24
718,A40,A01144,ANGELONE,61,"2,799.53","2,927.62",,14-10-24,27-11-24
719,AK47,A01144,MANAPPURAM,"1,307",153.38,157.8,,18-10-24,19-11-24
720,A40,A01144,COCHINSHIP,20,"1,548.54","1,837.20",,18-10-24,24-10-25
721,MISC,RA1144,BAJAJHIND,"1,455",34.01,62,,22-10-24,
722,A40,RA1144,GRSE,65,"1,546.18","1,887.40",,22-10-24,06-05-25
723,AK47,RA1144,INDIGOPNTS,50,"1,661.00","1,511.73",,22-10-24,19-11-24
724,AK47,RA1144,JYOTIRES,57,"1,467.00","1,371.59",,22-10-24,19-11-24
725,AK47,RA1144,NH,65,"1,266.24","1,260.90",,22-10-24,19-11-24
726,AK47,RA1144,PARACABLES,"1,187",70.38,72.9,,22-10-24,05-12-24
727,AK47,RA1144,KUANTUM,254,129,220,,22-10-24,
728,3*3,RA1144,EASEMYTRIP,"6,624",15.06,105,,23-10-24,
729,MISC,RA1144,EQUITASBNK,721,69.94,70.2,,23-10-24,06-11-24
730,AK47,RA1144,MANAPPURAM,678,147,157.85,,23-10-24,19-11-24
731,AK47,RA1144,MANAPPURAM,336,148.9,157.85,,24-10-24,19-11-24
732,AK47,UT0149,BHARATWIRE,142,237.2,217.7,,28-10-24,22-11-24
733,AK47,UT0149,INDUSINDBK,31,"1,073.00",988.2,,28-10-24,22-11-24
734,AK47,UT0149,STARHEALTH,63,539,365.35,,28-10-24,06-05-25
735,AK47,UT0149,JYOTIRES,23,"1,438.74","1,371.02",,28-10-24,19-11-24
736,AK47,UT0149,INDIGOPNTS,21,"1,643.00","1,511.65",,28-10-24,19-11-24
737,AK47,UT0149,MANAPPURAM,338,147.96,157.8,,28-10-24,19-11-24
738,AK47,UT0149,NH,27,"1,245.40","1,259.65",,28-10-24,19-11-24
739,AK47,UT0149,KUANTUM,272,123.79,126.2,,28-10-24,22-11-24
740,AK47,UT0149,PARACABLES,480,70.12,65.8,,28-10-24,22-11-24
741,AK47,UT0149,TANLA,46,732.15,549.4,,28-10-24,22-11-24
742,AK47,UT0149,WSTCSTPAPR,61,555.9,549.4,,28-10-24,22-11-24
743,MISC,RA1144,DATAPATTNS,40,"2,493.70","2,418.25",,30-10-24,27-11-24
744,3*3,RA1144,BANDHANBNK,27,183.85,176.5,,01-11-24,06-12-24
745,3*3,RA1144,EASEMYTRIP,"1,490",16.78,105,,01-11-24,
746,3*3,UT0149,BANDHANBNK,54,183.89,160.3,,01-11-24,06-05-25
747,AK47,UT0149,INDIGOPNTS,1,"1,679.75","1,511.65",,01-11-24,19-11-24
748,AK47,UT0149,PNCINFRA,3,322.85,304.2,,01-11-24,19-11-24
749,AK47,RA1144,PNCINFRA,77,324,304.2,,01-11-24,19-11-24
750,3*3,RA1144,BANDHANBNK,519,183.09,176.5,,06-11-24,06-12-24
751,3*3,UT0149,BANDHANBNK,549,182.2,160.3,,06-11-24,06-05-25
752,AK47,RA1144,KNRCON,165,306,317.2,,13-11-24,19-11-24
753,AK47,UT0149,KNRCON,165,306.3,317.25,,13-11-24,19-11-24
754,MIM2,UT0149,ABSLAMC,55,825.49,701.78,,21-11-24,06-02-25
755,MIM1,RA1144,ABB,16,"6,753.00","6,587.70",,21-11-24,09-01-25
756,MIM2,UT0149,BASF,7,"5,872.06","4,335.96",,21-11-24,06-02-25
757,MIM1,RA1144,BEL,406,270.65,282.25,,21-11-24,09-01-25
758,MIM1,RA1144,BSE,69,"1,528.50","2,189.00",,21-11-24,27-04-25
759,MIM1,RA1144,CGPOWER,157,710.2,627.1,,21-11-24,05-02-25
760,MIM1,RA1144,COCHINSHIP,83,"1,319.70","1,499.56",,21-11-24,09-01-25
761,MIM1,RA1144,DIVISLAB,19,"5,951.00","6,152.81",,21-11-24,06-05-25
762,MIM1,RA1144,DIXON,7,"14,965.00","13,453.30",,21-11-24,27-03-25
763,MIM2,UT0149,GLENMARK,31,"1,471.07","1,499.01",,21-11-24,06-02-25
764,MIM2,UT0149,GODFRYPHLP,8,"5,909.70","4,597.15",,21-11-24,06-02-25
765,MIM1,RA1144,HINDZINC,230,488.2,439.1,,21-11-24,09-01-25
766,MIM1,RA1144,INDUSTOWER,345,329,334.98,,21-11-24,09-01-25
767,MIM2,UT0149,JYOTICNC,37,"1,216.50","1,122.76",,21-11-24,06-02-25
768,MIM2,UT0149,KIRLOSBROS,21,"2,121.55","1,938.31",,21-11-24,06-02-25
769,MIM2,UT0149,DEEPAKFERT,35,"1,276.13","1,275.00",,21-11-24,06-05-25
770,MIM2,UT0149,DOMS,16,"2,839.32","2,768.34",,21-11-24,06-05-25
771,MIM2,UT0149,FSL,133,339.95,329,,21-11-24,06-05-25
772,MIM2,UT0149,SUVENPHAR,36,"1,279.70","1,139.04",,21-11-24,06-05-25
773,MIM2,UT0149,VIJAYA,41,"1,087.16","1,021.00",,21-11-24,06-05-25
774,MIM1,RA1144,M&M,38,"2,931.00","2,732.90",,21-11-24,27-03-25
775,MIM2,UT0149,ANANTRAJ,67,670.64,494.15,,21-11-24,27-03-25
776,MIM2,UT0149,GRSE,32,"1,392.00","1,711.00",,21-11-24,27-03-25
777,MIM2,UT0149,GVT&D,24,"1,838.15","1,563.64",,21-11-24,27-03-25
778,MIM2,UT0149,JUBLPHARMA,40,"1,129.49",887.2,,21-11-24,27-03-25
779,MIM2,UT0149,KAYNES,7,"5,787.05","4,892.56",,21-11-24,27-03-25
780,MIM2,UT0149,MOTILALOFS,52,879.1,675.35,,21-11-24,06-02-25
781,MIM1,RA1144,MAZDOCK,54,"1,995.00","2,183.20",,21-11-24,12-02-25
782,MIM2,UT0149,NETWEB,16,"2,815.11","1,793.15",,21-11-24,06-02-25
783,MIM1,RA1144,OBEROIRLTY,58,"1,916.70","1,825.43",,21-11-24,05-02-25
784,MIM1,RA1144,PAYTM,139,841.1,833,,21-11-24,06-05-25
785,MIM1,RA1144,POLICYBZR,66,"1,739.30","1,816.90",,21-11-24,26-06-25
786,MIM1,RA1144,RVNL,262,421.2,358.1,,21-11-24,27-03-25
787,MIM1,RA1144,SIEMENS,17,"6,634.00","6,323.82",,21-11-24,09-01-25
788,MIM1,RA1144,SOLARINDS,11,"9,970.00","9,708.05",,21-11-24,09-01-25
789,MIM2,UT0149,TECHNOE,30,"1,483.60","1,110.40",,21-11-24,06-02-25
790,MIM2,UT0149,TEJASNET,35,"1,275.38",871.55,,21-11-24,06-02-25
791,MIM1,RA1144,TRENT,17,"6,450.00","5,748.70",,21-11-24,05-02-25
792,MIM1,RA1144,VEDL,255,441.5,441.79,,21-11-24,09-01-25
793,MIM1,RA1144,VOLTAS,67,"1,662.00","1,737.51",,21-11-24,09-01-25
794,MIM2,UT0149,ABSLAMC,15,855.2,701.78,,25-11-24,06-02-25
795,MIM1,RA1144,ABB,4,"7,205.20","6,587.70",,25-11-24,09-01-25
796,MIM2,UT0149,BASF,3,"5,761.20","4,335.96",,25-11-24,06-02-25
797,MIM1,RA1144,BEL,85,293.65,282.25,,25-11-24,09-01-25
798,MIM1,RA1144,BSE,18,"1,632.07","2,189.00",,25-11-24,27-04-25
799,MIM1,RA1144,CGPOWER,32,759.9,627.1,,25-11-24,05-02-25
800,MIM1,RA1144,DIVISLAB,4,"6,076.80","6,152.81",,25-11-24,06-05-25
801,MIM1,RA1144,DIXON,2,"15,583.00","13,453.30",,25-11-24,27-03-25
802,MIM2,UT0149,GLENMARK,8,"1,487.95","1,499.01",,25-11-24,06-02-25
803,MIM2,UT0149,GODFRYPHLP,2,"5,777.70","4,597.15",,25-11-24,06-02-25
804,MIM1,RA1144,HINDZINC,50,497.5,439.1,,25-11-24,09-01-25
805,MIM1,RA1144,INDUSTOWER,70,334.75,334.98,,25-11-24,09-01-25
806,MIM2,UT0149,JYOTICNC,11,"1,222.00","1,122.76",,25-11-24,06-02-25
807,MIM2,UT0149,KIRLOSBROS,6,"2,210.00","1,938.31",,25-11-24,06-02-25
808,MIM1,RA1144,M&M,8,"3,053.60","2,732.90",,25-11-24,27-03-25
809,MIM2,UT0149,DEEPAKFERT,11,"1,287.50","1,275.00",,25-11-24,06-05-25
810,MIM2,UT0149,DOMS,4,"3,090.00","2,768.34",,25-11-24,06-05-25
811,MIM2,UT0149,FSL,38,356.4,329,,25-11-24,06-05-25
812,MIM2,UT0149,SUVENPHAR,10,"1,297.80","1,139.04",,25-11-24,06-05-25
813,MIM2,UT0149,VIJAYA,12,"1,149.55","1,021.00",,25-11-24,06-05-25
814,MIM2,UT0149,ANANTRAJ,20,672.65,494.15,,25-11-24,27-03-25
815,MIM2,UT0149,GRSE,10,"1,436.90","1,711.00",,25-11-24,27-03-25
816,MIM2,UT0149,GVT&D,7,"1,920.00","1,563.64",,25-11-24,27-03-25
817,MIM2,UT0149,JUBLPHARMA,12,"1,110.85",887.2,,25-11-24,27-03-25
818,MIM2,UT0149,KAYNES,3,"5,901.50","4,892.56",,25-11-24,27-03-25
819,MIM2,UT0149,MOTILALOFS,15,912.3,675.35,,25-11-24,06-02-25
820,MIM1,RA1144,MAZDOCK,12,"2,085.25","2,183.20",,25-11-24,12-02-25
821,MIM2,UT0149,NETWEB,5,"2,880.00","1,793.15",,25-11-24,06-02-25
822,MIM1,RA1144,OBEROIRLTY,12,"1,963.75","1,825.43",,25-11-24,05-02-25
823,MIM1,RA1144,PAYTM,22,888.8,833,,25-11-24,06-05-25
824,MIM1,RA1144,POLICYBZR,13,"1,732.70","1,816.90",,25-11-24,26-06-25
825,MIM1,RA1144,RVNL,57,435.4,358.1,,25-11-24,27-03-25
826,MIM1,RA1144,SIEMENS,3,"7,284.95","6,323.82",,25-11-24,09-01-25
827,MIM1,RA1144,SOLARINDS,2,"10,060.65","9,708.05",,25-11-24,09-01-25
828,MIM2,UT0149,TECHNOE,10,"1,473.25","1,110.40",,25-11-24,06-02-25
829,MIM2,UT0149,TEJASNET,11,"1,300.40",871.55,,25-11-24,06-02-25
830,MIM1,RA1144,TRENT,4,"6,721.60","5,748.70",,25-11-24,05-02-25
831,MIM1,RA1144,VEDL,56,445.2,441.79,,25-11-24,09-01-25
832,MIM1,RA1144,VOLTAS,15,"1,676.10","1,737.51",,25-11-24,09-01-25
833,MIM1,RA1144,ABB,3,"7,532.55","6,587.70",,27-11-24,09-01-25
834,MIM1,RA1144,BEL,81,306.85,282.25,,27-11-24,09-01-25
835,MIM1,RA1144,BSE,15,"1,490.68","2,189.00",,27-11-24,27-04-25
836,MIM1,RA1144,CGPOWER,32,763.85,627.1,,27-11-24,05-02-25
837,MIM1,RA1144,DIVISLAB,4,"6,003.75","6,152.81",,27-11-24,06-05-25
838,MIM1,RA1144,DIXON,2,"15,660.00","13,453.30",,27-11-24,27-03-25
839,MIM1,RA1144,HINDZINC,49,500.45,439.1,,27-11-24,09-01-25
840,MIM1,RA1144,INDUSTOWER,71,349.55,334.98,,27-11-24,09-01-25
841,MIM1,RA1144,M&M,8,"3,007.90","2,732.90",,27-11-24,27-03-25
842,MIM1,RA1144,MAZDOCK,12,"2,205.53","2,183.20",,27-11-24,12-02-25
843,MIM1,RA1144,OBEROIRLTY,12,"1,978.50","1,825.43",,27-11-24,05-02-25
844,MIM1,RA1144,PAYTM,27,913.5,833,,27-11-24,06-05-25
845,MIM1,RA1144,POLICYBZR,13,"1,842.00","1,816.90",,27-11-24,26-06-25
846,MIM1,RA1144,RVNL,56,438.75,358.1,,27-11-24,27-03-25
847,MIM1,RA1144,SIEMENS,3,"7,415.00","6,323.82",,27-11-24,09-01-25
848,MIM1,RA1144,SOLARINDS,3,"10,251.55","9,708.05",,27-11-24,09-01-25
849,MIM1,RA1144,TRENT,3,"6,828.45","5,748.70",,27-11-24,05-02-25
850,MIM1,RA1144,VEDL,55,445.9,441.79,,27-11-24,09-01-25
851,MIM1,RA1144,VOLTAS,15,"1,671.15","1,737.51",,27-11-24,09-01-25
852,MIM1,RA1144,COCHINSHIP,30,"1,575.90","1,499.56",,28-11-24,09-01-25
853,MIM2,UT0149,ABSLAMC,19,900.5,701.78,,02-12-24,06-02-25
854,MIM2,UT0149,BASF,3,"5,859.00","4,335.96",,02-12-24,06-02-25
855,MIM2,UT0149,GLENMARK,11,"1,544.00","1,499.01",,02-12-24,06-02-25
856,MIM2,UT0149,GODFRYPHLP,3,"5,691.00","4,597.15",,02-12-24,06-02-25
857,MIM2,UT0149,JYOTICNC,13,"1,264.00","1,122.76",,02-12-24,06-02-25
858,MIM2,UT0149,KIRLOSBROS,7,"2,348.45","1,938.31",,02-12-24,06-02-25
859,MIM2,UT0149,DEEPAKFERT,12,"1,377.00","1,275.00",,02-12-24,06-05-25
860,MIM2,UT0149,DOMS,6,"2,945.00","2,768.34",,02-12-24,06-05-25
861,MIM2,UT0149,FSL,44,367.7,329,,02-12-24,06-05-25
862,MIM2,UT0149,SUVENPHAR,12,"1,317.00","1,139.04",,02-12-24,06-05-25
863,MIM2,UT0149,VIJAYA,14,"1,147.59","1,021.00",,02-12-24,06-05-25
864,MIM2,UT0149,ANANTRAJ,24,698,494.15,,02-12-24,27-03-25
865,MIM2,UT0149,GRSE,9,"1,682.00","1,711.00",,02-12-24,27-03-25
866,MIM2,UT0149,GVT&D,10,"1,720.00","1,563.64",,02-12-24,27-03-25
867,MIM2,UT0149,JUBLPHARMA,13,"1,233.00",887.2,,02-12-24,27-03-25
868,MIM2,UT0149,KAYNES,3,"6,167.00","4,892.56",,02-12-24,27-03-25
869,MIM2,UT0149,MOTILALOFS,18,916,675.35,,02-12-24,06-02-25
870,MIM2,UT0149,NETWEB,6,"2,797.00","1,793.15",,02-12-24,06-02-25
871,MIM2,UT0149,TECHNOE,11,"1,450.00","1,110.40",,02-12-24,06-02-25
872,MIM2,UT0149,TEJASNET,12,"1,347.00",871.55,,02-12-24,06-02-25
873,MIM1,RA1144,ABB,5,"7,552.95","6,587.70",,06-12-24,09-01-25
874,MIM1,RA1144,BEL,126,313.9,282.25,,06-12-24,09-01-25
875,MIM1,RA1144,BSE,21,"1,791.33","2,189.00",,06-12-24,27-04-25
876,MIM1,RA1144,CGPOWER,52,768.9,627.1,,06-12-24,05-02-25
877,MIM1,RA1144,COCHINSHIP,25,"1,700.02","1,499.56",,06-12-24,09-01-25
878,MIM1,RA1144,DIVISLAB,6,"6,122.00","6,152.81",,06-12-24,06-05-25
879,MIM1,RA1144,DIXON,2,"17,380.00","13,453.30",,06-12-24,27-03-25
880,MIM1,RA1144,HINDZINC,77,507.54,439.1,,06-12-24,09-01-25
881,MIM1,RA1144,INDUSTOWER,105,367.52,334.98,,06-12-24,09-01-25
882,MIM1,RA1144,M&M,12,"3,093.38","2,732.90",,06-12-24,27-03-25
883,MIM1,RA1144,MAZDOCK,18,"2,460.37","2,183.20",,06-12-24,12-02-25
884,MIM1,RA1144,OBEROIRLTY,21,"2,137.58","1,825.43",,06-12-24,05-02-25
885,MIM1,RA1144,PAYTM,41,977.98,833,,06-12-24,06-05-25
886,MIM1,RA1144,POLICYBZR,20,"2,120.00","1,816.90",,06-12-24,26-06-25
887,MIM1,RA1144,RVNL,90,456.2,358.1,,06-12-24,27-03-25
888,MIM1,RA1144,SIEMENS,5,"7,867.20","6,323.82",,06-12-24,09-01-25
889,MIM1,RA1144,SOLARINDS,4,"10,831.33","9,708.05",,06-12-24,09-01-25
890,MIM1,RA1144,TRENT,6,"6,954.55","5,748.70",,06-12-24,05-02-25
891,MIM1,RA1144,VEDL,79,490.37,441.79,,06-12-24,09-01-25
892,MIM1,RA1144,VOLTAS,24,"1,702.78","1,737.51",,06-12-24,09-01-25
893,MM,RA1144,GRAVITA,22,"2,358.87","1,896.35",,18-12-24,06-05-25
894,MIM1,RA1144,BHARTIHEXA,131,"1,476.56","1,700.67",,09-01-25,06-05-25
895,MIM1,RA1144,COFORGE,100,"1,877.49","1,881.00",,09-01-25,26-06-25
896,MIM1,RA1144,INDHOTEL,235,823.74,"1,153.24",,09-01-25,
897,MIM1,RA1144,JUBLFOOD,259,747.8,710.44,,09-01-25,06-05-25
898,MIM1,RA1144,LUPIN,85,"2,270.48","2,187.28",,09-01-25,05-02-25
899,MIM1,RA1144,MAXHEALTH,161,"1,206.04","1,167.30",,09-01-25,06-05-25
900,MIM1,RA1144,PERSISTENT,31,"6,223.55","6,041.00",,09-01-25,26-06-25
901,MIM1,RA1144,SUZLON,"3,303",58.72,57.56,,09-01-25,27-03-25
902,MIM1,RA1144,UNITDSPR,123,"1,580.99","1,440.36",,09-01-25,05-02-25
903,MIM1,RA1144,BHARTIHEXA,18,"1,354.99","1,700.67",,31-01-25,06-05-25
904,MIM1,RA1144,BSE,12,"1,770.31","2,189.00",,31-01-25,27-04-25
905,MIM1,RA1144,CGPOWER,38,635.05,627.1,,31-01-25,05-02-25
906,MIM1,RA1144,COFORGE,15,"1,653.30","1,881.00",,31-01-25,26-06-25
907,MIM1,RA1144,DIVISLAB,4,"5,574.00","6,152.81",,31-01-25,06-05-25
908,MIM1,RA1144,DIXON,1,"14,983.60","13,453.30",,31-01-25,27-03-25
909,MISC,RA1144,GOLDIETF,70,71.18,83.1,,31-01-25,24-04-25
910,MISC,RA1144,HDFCGOLD,70,71.02,82.9,,31-01-25,24-04-25
911,MIM1,RA1144,INDHOTEL,32,764.8,"1,070.72",,31-01-25,
912,MIM1,RA1144,JUBLFOOD,34,702.8,710.44,,31-01-25,06-05-25
913,MIM1,RA1144,LUPIN,11,"2,080.15","2,187.28",,31-01-25,05-02-25
914,MIM1,RA1144,M&M,8,"2,987.95","2,732.90",,31-01-25,27-03-25
915,MIM1,RA1144,MAXHEALTH,23,"1,063.65","1,167.30",,31-01-25,06-05-25
916,MIM1,RA1144,MAZDOCK,9,"2,498.00","2,183.20",,31-01-25,12-02-25
917,MIM1,RA1144,OBEROIRLTY,14,"1,812.50","1,825.43",,31-01-25,05-02-25
918,MIM1,RA1144,PAYTM,31,776.2,833,,31-01-25,06-05-25
919,MIM1,RA1144,PERSISTENT,4,"6,027.05","6,041.00",,31-01-25,26-06-25
920,MIM1,RA1144,POLICYBZR,14,"1,725.89","1,816.90",,31-01-25,26-06-25
921,MIM1,RA1144,RVNL,51,478.4,358.1,,31-01-25,27-03-25
922,MIM1,RA1144,TRENT,4,"5,759.25","5,748.70",,31-01-25,05-02-25
923,MIM1,RA1144,UNITDSPR,17,"1,425.00","1,440.36",,31-01-25,05-02-25
924,MIM1,RA1144,BAJAJHLDNG,18,"11,417.04","11,971.00",,06-02-25,06-05-25
925,MIM1,RA1144,KALYANKJIL,389,550.7,471.2,,06-02-25,27-03-25
926,MIM1,RA1144,MUTHOOTFIN,95,"2,248.90","2,229.54",,06-02-25,06-05-25
927,MIM2,UT0149,AMBER,9,"6,963.05","6,009.00",,06-02-25,06-05-25
928,MIM2,UT0149,CAPLIPOINT,28,"2,188.85","1,872.85",,06-02-25,06-05-25
929,MIM2,UT0149,KIMS,95,654.43,658.33,,06-02-25,06-05-25
930,MIM2,UT0149,MCX,7,"6,017.00","6,194.00",,06-02-25,06-05-25
931,MIM2,UT0149,PCBL,152,414,367.96,,06-02-25,06-05-25
932,MIM2,UT0149,PPLPHARMA,270,229.45,211.28,,06-02-25,06-05-25
933,MIM2,UT0149,AFFLE,38,"1,648.28","1,603.70",,06-02-25,27-03-25
934,MIM2,UT0149,ERIS,42,"1,470.00","1,370.10",,06-02-25,27-03-25
935,MIM2,UT0149,POLYMED,26,"2,435.00","2,202.80",,06-02-25,27-03-25
936,MIM2,UT0149,PTCIL,4,"14,589.85","14,766.59",,06-02-25,27-03-25
937,MIM1,RA1144,UPL,334,639.7,685.89,,06-02-25,06-05-25
938,MIM1,RA1144,WIPRO,670,319.2,271,,06-02-25,27-03-25
939,MIM1,RA1144,MAZDOCK,101,"2,251.36","2,704.14",,13-02-25,27-04-25
940,MM,XQW072,GODREJPROP,2,"2,107.70","2,133.80",,20-03-25,06-05-25
941,MM,RA1144,ACE,54,"1,211.04","1,277.70",,26-03-25,23-05-25
942,MM,RA1144,ASAHIINDIA,104,617.85,745,,26-03-25,06-05-25
943,MM,RA1144,ASTRAL,50,"1,288.00","1,320.94",,26-03-25,06-05-25
944,MM,RA1144,BRIGADE,66,982.6,"1,011.00",,26-03-25,06-05-25
945,MM,RA1144,CGCL,348,185.84,177.09,,26-03-25,10-07-25
946,MM,RA1144,GODREJPROP,30,"2,147.95","2,145.30",,26-03-25,06-05-25
947,MM,RA1144,HSCL,151,427.7,429.76,,26-03-25,06-05-25
948,MM,RA1144,INFIBEAM,"3,748",17.3,17.03,,26-03-25,06-05-25
949,MM,RA1144,KEI,23,"2,837.02","3,191.51",,26-03-25,06-05-25
950,MM,RA1144,KIRLOSBROS,38,"1,706.20","1,758.20",,26-03-25,06-05-25
951,MM,RA1144,LALPATHLAB,26,"2,449.30","2,792.50",,26-03-25,06-05-25
952,MM,RA1144,MAHABANK,"1,392",46.76,51.25,,26-03-25,06-05-25
953,MM,RA1144,MARKSANS,292,222.85,218.26,,26-03-25,06-05-25
954,MM,RA1144,VBL,122,530.9,529.37,,26-03-25,06-05-25
955,MIM1,RA1144,BAJAJFINSV,94,"1,975.24","2,018.44",,27-03-25,06-05-25
956,MIM1,RA1144,BAJFINANCE,21,"8,963.31","8,788.50",,27-03-25,06-05-25
957,MIM1,RA1144,BHARTIARTL,108,"1,732.20","1,904.10",,27-03-25,06-05-25
958,MIM1,RA1144,KOTAKBANK,88,"2,140.22","2,073.04",,27-03-25,06-05-25
