S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
143,3*3,UT0149,GEOJITFSL,657,76.3,80.1,,24-08-21,19-12-23
144,MISC,UT0149,TECHNOE,183,273.75,294.2,,24-08-21,22-04-22
145,MISC,UT0149,ASTRAZEN,24,"3,087.20","3,115.20",,30-08-21,01-08-22
146,MISC,UT0149,JCHAC,34,"2,196.70","1,277.00",,30-08-21,10-01-24
147,MISC,UT0149,KIRLOSIND,51,"1,426.30","1,472.20",,30-08-21,18-02-22
148,MISC,UT0149,NBCC,676,44.35,51.3,,30-08-21,13-01-22
149,3*3,RA1144,JPPOWER,"4,938",4.05,21,,31-08-21,08-02-24
150,3*3,RA1144,BANKINDIA,546,64.2,62.6,,01-09-21,03-11-22
151,3*3,RA1144,COFFEEDAY,"2,659",28.2,52.4,,01-09-21,05-09-22
152,3*3,RA1144,JPPOWER,"3,797",3.95,21,,01-09-21,08-02-24
153,3*3,RA1144,PNB,"1,180",37.2,53.3,,01-09-21,22-12-22
154,3*3,RA1144,UNIONBANK,820,35.6,43.3,,01-09-21,05-09-22
155,3*3,RA1144,EQUITAS,401,123.2,123.2,,03-09-21,03-09-21
156,3*3,RA1144,EQUITASBNK,"4,723",52.94,85.7,,03-09-21,12-09-23
157,3*3,RA1144,JSWISPL,"4,587",32.7,29.78,,03-09-21,03-11-22
158,3*3,A01144,BANKINDIA,496,59.87,62.4,,06-09-21,03-11-22
159,3*3,A01144,EQUITAS,407,124.86,127.95,,06-09-21,14-09-21
160,3*3,A01144,GIPCL,281,84.05,83.95,,06-09-21,14-09-21
161,3*3,A01144,INDIANB,340,124.79,127.4,,06-09-21,14-09-21
162,3*3,A01144,RAJESHEXPO,50,589.37,"1,000.00",,06-09-21,14-09-21
163,MISC,A01144,ZEEL,38,181.06,236.8,,06-09-21,14-09-21
164,MISC,UT0149,DOLATALGO,712,98.25,69.7,,07-09-21,10-01-24
165,MISC,UT0149,FSL,368,191.7,130.3,,07-09-21,05-06-23
166,3*3,A01144,MAHABANK,"2,625",19.07,20.5,,07-09-21,14-01-22
167,3*3,A01144,SAMMAANCAP,77,228.46,234.55,,07-09-21,14-09-21
168,GEM,A01144,KANCHI,30,846.16,874.41,,07-09-21,14-09-21
169,3*3,A01144,SUNTV,206,486.95,509.15,,07-09-21,14-09-21
170,GEM,A01144,TITANBIO,76,333.08,344.95,,07-09-21,14-09-21
171,3*3,A01144,UJJIVAN,211,142.76,161.3,,07-09-21,14-09-21
172,MISC,UT0149,IIFLSEC,380,91.55,93.4,,07-09-21,16-12-21
173,MISC,UT0149,NUCLEUS,128,543.69,566.7,,07-09-21,13-01-22
174,3*3,RA1144,DEN,580,51.8,50.25,,15-09-21,18-09-23
175,3*3,RA1144,HATHWAY,"1,182",25.4,24.85,,15-09-21,08-01-24
176,GEM,RA1144,TITANBIO,145,345.2,266,,15-09-21,05-06-23
177,3*3,RA1144,JPPOWER,"11,957",4.6,21,,16-09-21,08-02-24
178,GEM,RA1144,MANALIPETC,395,101.1,116.4,,16-09-21,10-01-22
179,3*3,RA1144,TVTODAY,454,288.46,389.1,,16-09-21,04-02-22
180,MISC,A01144,SOLARA,15,"1,652.20",330.35,,17-09-21,19-12-23
181,MISC,UT0149,PRINCEPIPE,14,710.2,636.75,,17-09-21,05-06-23
182,MISC,UT0149,HDFCBANK,6,"1,587.20","1,545.20",,17-09-21,11-11-22
183,GEM,RA1144,SHYAMMETL,63,399.9,293.75,,17-09-21,05-06-23
184,MISC,UT0149,TATAMOTORS,33,308.75,499.7,,17-09-21,13-01-22
185,3*3,RA1144,DISHTV,"2,422",20.65,21,,22-09-21,23-09-22
186,3*3,RA1144,SAMMAANCAP,82,214.2,187.2,,22-09-21,12-09-23
187,3*3,RA1144,SUNTV,50,509.7,524.73,,22-09-21,20-09-22
188,MISC,UT0149,TATACHEM,10,819,990.2,,22-09-21,13-01-22
189,MISC,UT0149,TATAPOWER,59,137.6,237.85,,22-09-21,13-01-22
190,3*3,RA1144,UJJIVAN,196,152.7,200.95,,22-09-21,05-09-22
191,GEM,RA1144,IDFCFIRSTB,735,47.05,49.3,,24-09-21,05-09-22
192,MISC,UT0149,MARKSANS,"1,385",69.7,71.47,,24-09-21,27-03-23
193,3*3,RA1144,JSWSTEEL,153,654.44,667.2,,27-09-21,04-08-22
194,3*3,RA1144,SAIL,460,108.7,83.85,,27-09-21,05-06-23
195,3*3,RA1144,SUNTV,35,511.2,524.73,,27-09-21,20-09-22
196,3*3,RA1144,TATASTEEL,79,"1,274.37","1,341.20",,27-09-21,18-04-22
197,3*3,RA1144,EQUITAS,5,122.7,122.7,,28-09-21,03-09-21
198,3*3,RA1144,SAIL,454,110.2,83.85,,28-09-21,05-06-23
199,3*3,RA1144,SUNTV,114,498.19,524.73,,28-09-21,20-09-22
200,MISC,RA1144,ALKYLAMINE,26,"3,865.20","2,507.57",,29-09-21,10-01-24
201,GEM,RA1144,IDFCFIRSTB,"2,112",47.35,49.3,,29-09-21,05-09-22
202,3*3,RA1144,EQUITAS,414,120.9,120.9,,30-09-21,03-09-21
203,GEM,RA1144,KILPEST,166,482.72,505.81,,30-09-21,07-01-22
204,3*3,RA1144,NMDC,"1,022",144.2,144.2,,04-10-21,05-06-23
205,3*3,RA1144,BANKINDIA,"1,765",56.7,62.6,,07-10-21,03-11-22
206,MISC,RA1144,CAMS,97,"3,102.20","3,107.61",,07-10-21,16-04-24
207,3*3,RA1144,COFFEEDAY,"3,096",32.3,52.4,,07-10-21,05-09-22
208,3*3,RA1144,DEN,995,50.3,50.25,,07-10-21,18-09-23
209,3*3,RA1144,EQUITAS,855,122.7,122.7,,07-10-21,03-09-21
210,3*3,RA1144,FORCEMOT,99,"1,521.10","1,527.20",,07-10-21,22-11-22
211,3*3,RA1144,HATHWAY,"1,927",26.1,24.85,,07-10-21,08-01-24
212,3*3,RA1144,HDFCAMC,17,"2,914.70","3,165.60",,07-10-21,20-12-23
213,GEM,RA1144,IDFCFIRSTB,"2,088",47.95,49.3,,07-10-21,05-09-22
214,3*3,RA1144,INDIANB,668,139.4,167.95,,07-10-21,30-05-22
215,3*3,RA1144,JPPOWER,"34,483",4.35,21,,07-10-21,08-02-24
216,3*3,RA1144,KSCL,438,571.7,573.4,,07-10-21,12-09-23
217,3*3,RA1144,PNB,"6,230",40.15,53.3,,07-10-21,22-12-22
218,3*3,RA1144,SYMPHONY,45,"1,083.20","1,118.20",,07-10-21,24-02-23
219,3*3,RA1144,UNIONBANK,"2,711",37.05,43.3,,07-10-21,05-09-22
220,3*3,RA1144,ATULAUTO,548,235.9,253.2,,08-10-21,13-10-22
221,MISC,UT0149,RBLBANK,55,192.4,229.1,,08-10-21,25-08-23
222,MISC,RA1144,DOLATALGO,869,92.3,60.57,,08-10-21,04-11-23
223,3*3,UT0149,GEOJITFSL,622,80.3,80.1,,08-10-21,19-12-23
224,3*3,RA1144,EQUITAS,370,121.95,121.95,,08-10-21,03-09-21
225,3*3,RA1144,JMFINANCIL,"2,190",91.35,95.35,,08-10-21,06-09-23
226,MISC,RA1144,MARKSANS,"1,454",71.2,71.6,,08-10-21,20-03-23
227,3*3,RA1144,SPANDANA,359,557.7,560.2,,08-10-21,01-09-22
228,3*3,RA1144,SUNTV,185,541.7,524.73,,08-10-21,20-09-22
229,3*3,RA1144,ASIANTILES,299,100,621,,22-10-21,
230,3*3,RA1144,ASIANTILES,294,100,621,,22-10-21,
231,3*3,UT0149,ASIANTILES,528,100,44.04,,22-10-21,06-05-25
232,3*3,RA1144,MIRZAINT,"2,686",62.7,176.7,,26-10-21,11-03-22
233,MISC,UT0149,HINDUNILVR,17,"2,369.20","2,513.00",,01-11-21,07-07-22
234,3*3,RA1144,DEN,"1,114",44.85,50.25,,01-11-21,18-09-23
235,3*3,RA1144,FORCEMOT,35,"1,422.70","1,527.20",,01-11-21,22-11-22
236,3*3,RA1144,HATHWAY,"2,290",21.8,24.85,,01-11-21,08-01-24
237,3*3,RA1144,JSWISPL,"1,707",29.3,29.78,,01-11-21,03-11-22
238,3*3,UT0149,SAMMAANCAP,219,228.7,117.71,,04-11-21,06-05-25
